time,pair,direction,entry,sl,tp,risk_pct,volume,risk_amt,result,exit_price,exit_time,bars_held,pnl,balance,reason,score,_bar_idx
2010-10-01 00:00:00,XAU/USD,BUY,1295.7,1270.5,1319.903363,1.0,0.01,100.0,win,1319.903363,2010-10-01 00:00:00,5,96.05,10096.05,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,158
2010-10-14 00:00:00,XAU/USD,BUY,1348.5,1280.8,1378.296725,1.0,0.01,100.96,win,1378.296725,2010-10-14 00:00:00,6,44.44,10140.48,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,167
2010-12-31 00:00:00,XAU/USD,BUY,1392.9,1325.1,1508.16,1.0,0.01,101.4,open,1392.9,2010-12-31 00:00:00,0,0.0,10140.48,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,183
2010-02-04 16:00:00,USD/JPY,SELL,90.269,91.35,89.612799,1.0,0.04,100.0,be,90.269,2010-02-04 16:00:00,25,0.0,10000.0,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,147
2010-03-04 04:00:00,USD/JPY,SELL,88.698,89.37,88.251954,2.0,0.13,200.0,win,88.251954,2010-03-04 04:00:00,7,132.75,10132.75,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,268
2010-03-05 04:00:00,USD/JPY,SELL,89.088,89.37,88.527382,2.0,0.32,202.66,loss,89.37,2010-03-05 04:00:00,3,-202.66,9930.09,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,274
2010-03-09 08:00:00,USD/JPY,SELL,90.358,90.970151,89.745849,2.0,0.14,198.6,win,89.745849,2010-03-09 08:00:00,11,198.6,10128.69,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,288
2010-03-10 12:00:00,USD/JPY,SELL,89.995,90.485,89.358,1.0,0.09,101.29,loss,90.485,2010-03-10 12:00:00,4,-101.29,10027.4,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,295
2010-03-11 08:00:00,USD/JPY,SELL,90.288,90.656,89.8096,1.0,0.12,100.27,loss,90.656,2010-03-11 08:00:00,2,-100.27,9927.13,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,300
2010-03-12 00:00:00,USD/JPY,SELL,90.656,90.816,90.448,1.0,0.27,99.27,be,90.656,2010-03-12 00:00:00,1,0.0,9927.13,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,304
2010-03-12 16:00:00,USD/JPY,SELL,90.715,90.816,90.5837,1.0,0.43,99.27,be,90.715,2010-03-12 16:00:00,1,0.0,9927.13,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,308
