pair,direction,entry,sl,tp,risk_amt,risk_pct,volume,result,exit_price,exit_time,pnl,balance,reason,score,regime,trigger,_bar_idx,exit_time_dt,month
XAU/USD,BUY,1940.03,1920.67,1961.83707,1000.0,1.0,0.14,be,1940.03,2023-01-26 08:00:00,0.0,100000.0,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,trend,h4_immediate,104,2023-01-26 08:00:00,2023-01
XAU/USD,BUY,1929.13,1920.67,1948.75474,1000.0,1.0,0.33,loss,1920.67,2023-01-27 04:00:00,-1000.0,99000.0,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,trend,h4_immediate,109,2023-01-27 04:00:00,2023-01
XAU/USD,BUY,1930.26,1920.67,1951.227,990.0,1.0,0.29,be,1930.26,2023-01-27 20:00:00,0.0,99000.0,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,trend,h4_immediate,113,2023-01-27 20:00:00,2023-01
XAU/USD,BUY,1930.58,1920.67,1949.99231,990.0,1.0,0.28,be,1930.58,2023-01-30 12:00:00,0.0,99000.0,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,trend,h4_immediate,117,2023-01-30 12:00:00,2023-01
XAU/USD,BUY,1925.52,1918.65,1941.99967,990.0,1.0,0.4,loss,1918.65,2023-01-31 04:00:00,-990.0,98010.0,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,trend,h4_immediate,121,2023-01-31 04:00:00,2023-01
XAU/USD,BUY,1929.38,1920.67,1952.58846,980.1,1.0,0.31,be,1929.38,2023-02-01 00:00:00,0.0,98010.0,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,trend,h4_immediate,126,2023-02-01 00:00:00,2023-02
XAU/USD,BUY,1927.95,1920.68,1944.62083,980.1,1.0,0.38,loss,1920.68,2023-02-01 16:00:00,-980.1,97029.9,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,trend,h4_immediate,130,2023-02-01 16:00:00,2023-02
XAU/USD,BUY,1952.14,1920.68,1972.8254,970.3,1.0,0.09,be,1952.14,2023-02-02 16:00:00,0.0,97029.9,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,trend,h4_immediate,136,2023-02-02 16:00:00,2023-02
XAU/USD,BUY,1983.64,1907.56,2016.45567,970.3,1.0,0.04,be,1983.64,2023-03-20 16:00:00,0.0,97029.9,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,trend,h4_immediate,330,2023-03-20 16:00:00,2023-03
XAU/USD,BUY,1973.34,1907.56,2004.50447,1940.6,2.0,0.08,be,1973.34,2023-03-21 12:00:00,0.0,97029.9,Полный сетап (3/4): D1=Y | H4=Y | COT=Y | Trend=?,3,trend,h4_immediate,335,2023-03-21 12:00:00,2023-03
XAU/USD,BUY,1939.44,1907.56,1968.24127,1940.6,2.0,0.17,win,1968.24127,2023-03-22 16:00:00,1753.19,98783.09,Полный сетап (3/4): D1=Y | H4=Y | COT=Y | Trend=?,3,trend,h4_immediate,342,2023-03-22 16:00:00,2023-03
