pair,direction,entry,sl,tp,risk_amt,risk_pct,volume,result,exit_price,exit_time,pnl,balance,reason,score,regime,trigger,_bar_idx,exit_time_dt,month
XAU/USD,BUY,1945.24,1920.67,1961.83707,1000.0,1.0,0.14,be,1945.24,2023-01-26 08:00:00,0.0,100000.0,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=? | H1 trig,2,trend,h1_fractal,104,2023-01-26 08:00:00,2023-01
XAU/USD,BUY,1945.24,1920.67,1967.32615,1000.0,1.0,0.11,be,1945.24,2023-01-26 08:00:00,0.0,100000.0,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=? | H1 trig,2,trend,h1_fractal,104,2023-01-26 08:00:00,2023-01
XAU/USD,BUY,1945.24,1920.67,1965.29583,1000.0,1.0,0.11,be,1945.24,2023-01-26 08:00:00,0.0,100000.0,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=? | H1 trig,2,trend,h1_fractal,104,2023-01-26 08:00:00,2023-01
XAU/USD,BUY,1929.66,1920.67,1948.75474,1000.0,1.0,0.33,loss,1920.67,2023-01-27 04:00:00,-1000.0,99000.0,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=? | H1 trig,2,trend,h1_fractal,109,2023-01-27 04:00:00,2023-01
XAU/USD,BUY,1929.67,1920.67,1951.227,990.0,1.0,0.29,be,1929.67,2023-01-30 00:00:00,0.0,99000.0,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=? | H1 trig,2,trend,h1_fractal,114,2023-01-30 00:00:00,2023-01
XAU/USD,BUY,1926.07,1917.17,1944.39006,990.0,1.0,0.34,be,1926.07,2023-01-30 20:00:00,0.0,99000.0,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=? | H1 trig,2,trend,h1_fractal,119,2023-01-30 20:00:00,2023-01
XAU/USD,BUY,1928.47,1890.32819,1923.97908,990.0,1.0,0.19,be,1928.47,2023-02-01 04:00:00,0.0,99000.0,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=? | H1 trig,2,trend,h1_fractal,127,2023-02-01 04:00:00,2023-02
XAU/USD,BUY,1928.47,1911.38,1948.20918,990.0,1.0,0.21,be,1928.47,2023-02-01 04:00:00,0.0,99000.0,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=? | H1 trig,2,trend,h1_fractal,127,2023-02-01 04:00:00,2023-02
XAU/USD,BUY,1928.47,1920.67,1952.58846,990.0,1.0,0.32,be,1928.47,2023-02-01 04:00:00,0.0,99000.0,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=? | H1 trig,2,trend,h1_fractal,127,2023-02-01 04:00:00,2023-02
XAU/USD,BUY,1928.47,1919.88,1949.28408,990.0,1.0,0.33,be,1928.47,2023-02-01 04:00:00,0.0,99000.0,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=? | H1 trig,2,trend,h1_fractal,127,2023-02-01 04:00:00,2023-02
XAU/USD,BUY,1925.14,1919.88,1944.77059,990.0,1.0,0.38,win,1944.77059,2023-02-02 00:00:00,3694.73,102694.73,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=? | H1 trig,2,trend,h1_fractal,132,2023-02-02 00:00:00,2023-02
